Grid ID 2019,Accidental Fires,Agriculture,Aviation,Biomass,Commercial Cooking,Construction,Forestry,Gas Leakage,Heat and Power Generation,Industrial Processes,Machinery,Rail,Resuspension,River,Road Transport,Waste,nox,nox_hotspot
79,0.0,0.174016345390303,0.0,0.0,0.0,0.0,0.0,0.0,2.074894662244388,0.050498157,0.0124799140747631,0.229128492,0.0,0.0,1.6493775004173046,0.0002947272376433,4.190689798364402,0
80,0.0,0.254763728101742,0.0,0.0,0.0,0.0,0.0,0.0,1.7000791553191223,0.066665192,0.007679943443283,0.0,0.0,0.0,0.19915573970190634,0.0005629861302728,2.228906744696326,0
81,0.0,0.323117057913438,0.0,0.0,0.0,0.0,0.0,0.0,1.7168811886294943,0.0,0.0047999091287898,0.0,0.0,0.0,1.4166483971593538,7.51551377595519e-05,3.4615217079688354,0
82,0.0,0.375080048153742,0.0,0.0,0.0,0.0,0.0,0.0,1.6879713138271408,0.0,0.0028799796454351,0.0,0.0,0.0,0.2076822586392574,4.50936237738052e-05,2.2736586938893493,0
83,0.0,0.39095301920623,0.0,0.0,0.0,0.0,0.0,0.0,1.6877933966920484,0.0,0.0009599954930224,0.0,0.0,0.0,0.20239445205123804,1.50312079246017e-05,2.2821158946504636,0
84,0.0,0.418936502869524,0.0,0.0,0.0,0.0,0.0,0.0,1.6807625232072385,0.0,0.0057599592908703,0.0,0.0,0.0,22.364968934078384,9.01872475476105e-05,24.470518106693564,0
85,0.0,0.375171885890397,0.0,0.0,0.0,0.0,0.0,0.0,1.7821333127609285,0.0,0.0028799454772738,0.0,0.0,0.0,27.225195454416006,4.50930826557311e-05,29.385425691627262,1
86,0.0,0.304911579025255,0.0,0.0,0.0,0.0,0.0,0.0,1.880454059517441,0.0,0.0057599592908703,0.0,0.0,0.0,1.5377121915371934,9.01872475476105e-05,3.7289279766183077,0
87,0.0,0.233314247957612,0.0,0.0,0.0,0.0,0.0,0.0,1.146193703004404,0.09923421,0.018239647855769,0.0,0.0,0.0,28.786940570899485,0.0009422522798464,30.284864631997117,1
88,0.0,0.36645229242245,0.0,0.0,0.0,0.0,0.0,0.0,1.024218246735647,0.0,0.0038399751384576,0.0,0.0,0.0,25.24802136274972,6.0124831698407e-05,26.642592001877976,0
89,0.0,0.229834254099132,0.0,0.0,0.0,0.0,0.0,0.0,0.8654290459022289,0.0,0.0105599230887182,0.0,0.0,0.0,25.196280940580515,0.0001653432871706,26.302269506957764,0
90,0.0,0.0530345322627821,0.0,0.0,0.0,0.0,0.0,0.0,0.7222913038633039,0.019097006,0.0124797637348535,0.0,0.0,0.0,8.585419721380982,0.0001954033581748,9.392517730600096,0
91,0.0,0.0680505857579618,0.0,0.0,0.0,0.0,0.0,0.0,0.7310505020501357,0.0,0.0038399751384576,0.0,0.0,0.0,5.523128038885372,6.0124831698407e-05,6.3261292266636255,0
92,0.0,0.0203353931116179,0.0,0.0,0.0,0.0,0.0,0.0,0.5166571966105592,0.0,0.0,0.0,0.0,0.0,2.436878654514496,0.0,2.973871244236673,0
93,0.0,0.0665717399367885,0.0,0.0,0.0,0.0,0.0,0.0,0.4357899173647113,0.014287056,0.0297597851137419,0.0,0.0,0.0,2.6320669537144727,0.0004659674456626,3.178941419575377,0
94,0.0,0.196607141863723,0.0,0.0,0.0,0.0,0.0,0.0,1.0629992021846846,0.073835163,0.0364793025451703,0.0,0.0,0.0,1.513610837921815,0.0028013074864761,2.886332955001869,0
95,0.0,0.360160896214719,0.0,0.0,0.0,0.0,0.0,0.0,0.2640075969076885,0.0,0.0038399751384576,0.0,0.0,0.0,15.662947001067662,6.0124831698407e-05,16.291015594160225,0
96,0.0,0.254431273332891,0.0,0.0,0.0,0.0,0.0,0.0,0.2307726000356663,0.002209897,0.0057599592908703,0.0,0.0,0.0,25.388800961064003,9.79517538956134e-05,25.88207264247733,0
97,0.0,0.28489096082028,0.0,0.0,0.0,0.0,0.0,0.0,0.232775192804166,0.0,0.0028799796454351,0.0,0.0,0.0,21.456986472324868,4.50936237738052e-05,21.97757769921852,0
98,0.0,0.356865779476955,0.0,0.0,0.0,0.0,0.0,0.0,0.7737596148587776,0.020591962,0.0076798409387991,0.0,0.0,0.0,6.043019070058851,0.0002111140671519,7.202127381400535,0
99,0.0,0.351525468114561,0.0,0.0,0.0,0.0,0.0,0.0,0.7139174100794324,0.0,0.0019199431506191,0.0,0.0,0.0,26.52470677931586,3.00617544826685e-05,27.592099662414956,1
