Grid ID 2019,Easting,Northing,Zone,Borough,co2_Accidental Fires,co2_Agriculture,co2_Aviation,co2_Biomass,co2_Commercial Cooking,co2_Construction,co2_Forestry,co2_Gas Leakage,co2_Heat and Power Generation,co2_Industrial Processes,co2_Machinery,co2_Rail,co2_Resuspension,co2_River,co2_Road Transport,co2_Waste,nox,pm10,pm2.5,nox_hotspot
68,506500,199500,Non GLA,Non GLA,0.0,7.09327670618482,0.0,0.0,0.0,0.0,0.0,0.00257,365.9387336219773,0.0,0.117675328444377,0.0,0.0,0.0,716.2214600765828,0.0,2.4417839250598363,0.3496292347922563,0.14219877065881487,0
69,507500,199500,Non GLA,Non GLA,0.0,7.19758954403828,0.0,0.0,0.0,0.0,0.0,0.00025,387.802231753859,0.0,0.353025147673033,0.0,0.0,0.0,15763.743969891113,0.0,31.33146622014657,6.070196441854148,1.4566558477680018,1
70,508500,199500,Non GLA,Non GLA,0.0,5.73714039610534,0.0,0.0,0.0,0.0,0.0,0.03471,1287.2695410725391,0.0,2.706493184196,227.29718809000002,0.0,5.77991,3538.891104766793,0.0,11.324321581150954,1.6790193449538664,0.7770710958962429,0
71,509500,199500,Non GLA,Non GLA,0.0,0.938816287111059,0.0,0.0,0.0,0.0,0.0,0.23572,5430.8241391064985,0.423531833,9.17865300183875,615.5346009,0.0,0.0,5337.030217222912,0.0,19.857687160830803,3.195616207829634,1.688014515685008,0
72,510500,199500,Non GLA,Non GLA,0.0,0.938816287111059,0.0,0.0,0.0,0.0,0.0,0.30929,5640.119395853771,0.294706572,8.47260270649269,0.0,0.0,0.0,2447.7694397920186,0.0,9.816936602842016,2.206576181169338,1.4640353446341754,0
73,511500,199500,Non GLA,Non GLA,0.0,0.312938513560373,0.0,0.0,0.0,0.0,0.0,0.29466,5927.2274747777765,8.030723408,8.59027803493706,1.746028573,0.0,0.0,3602.21092869407,0.0,13.114009909293816,2.4182961710946014,1.3770906231556748,0
74,512500,199500,Non GLA,Non GLA,0.0,5.31989352327116,0.0,0.0,0.0,0.0,0.0,0.10729,2970.13907159781,0.352301303,4.47159798105868,0.057469911,0.0,0.0,7598.354512099593,0.0,21.068111845481273,2.762586686673148,1.1060909113655155,0
75,513500,199500,Non GLA,Non GLA,0.0,7.71915373330557,0.0,0.0,0.0,0.0,0.0,0.04983,1330.6188860091102,0.0,0.941400114574721,0.0,0.0,0.0,116.08043922672168,0.0,2.890676016280381,0.22400176272567732,0.16806820261956526,0
76,514500,199500,Non GLA,Non GLA,0.0,9.49247272324429,0.0,0.0,0.0,0.0,0.0,0.00243,1147.43629109681,0.389447145,0.823725623790443,0.0,0.0,0.0,249.07355801988203,0.0,3.296828892954512,0.3062542321006339,0.20352367181996792,0
77,515500,199500,Non GLA,Non GLA,0.0,4.17251575342813,0.0,0.0,0.0,0.0,0.0,0.19118,3522.959529320314,0.115219704,6.8251522965719,0.0,0.0,0.0,1644.4675712718788,0.0,6.719770367632965,1.3167620087859462,0.7527794624497476,0
