Grid ID 2019,Easting,Northing,Borough,Zone,share_Accidental Fires,share_Agriculture,share_Aviation,share_Biomass,share_Commercial Cooking,share_Construction,share_Forestry,share_Gas Leakage,share_Heat and Power Generation,share_Industrial Processes,share_Machinery,share_Rail,share_Resuspension,share_River,share_Road Transport,share_Waste,nox,pm10,pm2.5,co2
3384,531500,183500,Islington,Central,0.0010984995600402795,0.0010707589328509506,0.0,0.0,0.0,0.0,0.0,0.0,0.6915867954057261,0.012774612957863037,2.7131598774820437e-06,0.0,0.0,0.0,0.29346657750201405,4.248162810387054e-08,2.8763539154728854,0.4406366248557249,0.3185265291960279,2337.8130072687345
3385,531500,181500,City of Westminster,Central,0.0011221840172303318,0.0006283989020920509,0.0,0.0,0.0,0.21664498054456524,0.0,0.0,0.4981834080367488,0.03745533752815298,2.3145207655331385e-07,0.0,0.0,0.0,0.24596545590442764,3.6147062477900417e-09,4.901156954252991,0.936329370868514,0.7759966012595888,2530.3179444740354
3386,530500,181500,City,Central,0.0,0.012627995141799925,0.0,0.0,0.0,0.0,0.0,0.0,0.5003916385463941,0.016663378290517634,2.8018958118975612e-08,0.0,0.0,0.0,0.4703169594331552,5.691749426886947e-10,0.24389316074716277,0.04280208083893029,0.01199924634872927,122.30848109566035
3387,532500,181500,Hackney,Central,0.0,0.005305049311063597,0.0,0.0,0.0,0.6999373048856631,0.0,0.0,0.1814013546806473,0.03412547431083445,0.0,0.0,0.0,0.0,0.07923081681179162,0.0,0.580556648664953,0.06711016037220027,0.04561201916077867,254.0134873949528
3388,529500,182500,Camden,Inner,0.00046063325762061105,3.582434361998799e-05,0.0,0.0,0.0,0.37545580694492703,0.0,0.0,0.23029201875289768,0.005907734734582304,7.889556434821044e-06,0.005502534544190936,0.0,0.0,0.3823267351067897,1.0822758936931672e-05,85.97175378015852,19.089798511511894,6.532920986102993,43064.46009566327
3389,529500,182500,Camden,Central,0.00040554813216465844,7.93041428605526e-05,0.0,0.0,0.0,0.05032071674770263,0.0,0.0,0.733317738706565,0.008831633776221013,7.96482019615984e-06,0.0,0.0,0.0,0.20703696896490273,1.2470938722316643e-07,38.836327308259605,6.454808560331791,3.1478549376180633,26332.794382430187
3390,531500,182500,Islington,Inner,0.0,0.0014193328865967914,0.0,0.0,0.0,0.0,0.0,0.0,0.3162136926215268,0.006668505180826219,0.0,0.0,0.0,0.0,0.6756984693110502,0.0,2.169950177381004,0.3326837880708587,0.13331764945522634,1187.849910547243
3391,531500,182500,Islington,Central,0.0005987187639105474,3.945192413136619e-05,0.0,0.0,0.0,0.038284949231929294,0.0,0.0,0.7240449975611728,0.013511794256973086,0.0,6.517580218020324e-05,0.0,0.0,0.22345491245970264,0.0,78.06670312905588,8.810206335979414,5.1123133427720004,57704.48279687206
3392,533500,182500,Hackney,Inner,0.0005727256703472154,0.00010527061258720072,0.0,0.0,0.0,0.148595820442236,0.0,0.0,0.3111023655238631,0.01665706978139788,0.0,6.125108599293336e-05,0.0,0.0,0.5229054968835756,0.0,29.256803711312934,9.383606333876031,4.864272547392776,17855.655660505567
3393,533500,182500,Hackney,Central,0.00019288838386091406,0.0003960489291766263,0.0,0.0,0.0,0.27106597177060315,0.0,0.0,0.44157530119403987,0.02495409212554505,0.0,0.000424205920438438,0.0,0.0,0.26139149167633596,0.0,7.776518056585535,6.387816544401286,1.7396581171320853,4625.863111343876
3394,530500,180500,City of Westminster,Central,0.0005493922544657805,2.8012122643977777e-05,0.0,0.0,0.0,0.05535944728870198,0.0,0.0,0.40940825170179274,0.005117887456936307,0.0,7.475231219627925e-06,0.0,0.22866953083546826,0.3008600031087712,0.0,109.94817094646457,29.924912557315906,15.421234404065945,49554.931324862926
3395,532500,180500,Southwark,Central,0.000625585229887922,6.245179826056247e-05,0.0017887467145069219,0.0,0.0,0.04420189619236955,0.0,0.0,0.3493679899118296,0.013033843144438126,0.0,0.00012685110703641124,0.0,0.3690413934802143,0.22175124242145658,0.0,49.316140364501024,8.205139283780575,4.475750392256882,20423.3881964747
3396,530500,178500,Lambeth,Inner,0.00024933837180153584,0.0003413034114272965,0.0,0.0,0.0,0.010816705488973405,0.0,0.0,0.11049021032687904,0.004702472600221984,9.299435187174245e-07,0.0015628193368846242,0.0,0.03056267243885059,0.8412735335219701,1.4559472607604481e-08,9.023881818683394,1.8364251898716568,0.7021054437092354,4103.746448557975
